# Column 1: Pressure (bar)
# Column 2: Temperature (K)
# Column 3: Electron Number Density (m^-3) (calculated for P >= 10.0 bar, 0 otherwise)
# Column 4: NH3 (ppmv) (Juno)
# Column 5: H2O (ppmv) (Juno)
1.000000e-03	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
1.234155e-03	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
1.523139e-03	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
1.879791e-03	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
2.319954e-03	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
2.863183e-03	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
3.533613e-03	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
4.361027e-03	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
5.382184e-03	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
6.642452e-03	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
8.197817e-03	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
1.011738e-02	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
1.248642e-02	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
1.541018e-02	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
1.901855e-02	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
2.347185e-02	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
2.896791e-02	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
3.575090e-02	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
4.412216e-02	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
5.445360e-02	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
6.720420e-02	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
8.294042e-02	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
1.023614e-01	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
1.263298e-01	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
1.559106e-01	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
1.924179e-01	1.099024e+02	1.000000e-24	4.951676e-02	6.433466e-11
2.374736e-01	1.099026e+02	1.000000e-24	4.951676e-02	6.433466e-11
2.930793e-01	1.144457e+02	1.000000e-24	7.028947e-02	1.132583e-10
3.617054e-01	1.231957e+02	1.000000e-24	1.816897e+00	5.169731e-09
4.464007e-01	1.325081e+02	1.000000e-24	1.377727e+01	1.650192e-07
